taxa,Phylum,Class,Order,Family,Genus,Species
Potthastia gaedii,Arthropoda,Insecta,Diptera,Chironomidae,Potthastia,Potthastia gaedii
Platypalpus candicans,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus candicans
Barypeithes pellucidus,Arthropoda,Insecta,Coleoptera,Curculionidae,Barypeithes,Barypeithes pellucidus
Henlea perpusilla,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Henlea,Henlea perpusilla
Cricotopus reversus,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus reversus
Phosphaenus hemipterus,Arthropoda,Insecta,Coleoptera,Lampyridae,Phosphaenus,Phosphaenus hemipterus
Aporrectodea tuberculata,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea tuberculata
Conchapelopia melanops,Arthropoda,Insecta,Diptera,Chironomidae,Conchapelopia,Conchapelopia melanops
Medon sp.,Arthropoda,Insecta,Coleoptera,Staphylinidae,Medon,NA
Desoria grisea,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Desoria,Desoria grisea
Chaoborus crystallinus,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus crystallinus
Fridericia semisetosa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia semisetosa
Murchieona minuscula,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,Murchieona minuscula
Quedius boopoides,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,Quedius boopoides
Tipula maxima,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula maxima
Chironomus cingulatus,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus cingulatus
Hoplia philanthus,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Hoplia,Hoplia philanthus
Cyclops sp.,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Cyclops,NA
Endochironomus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus,NA
Cricotopus albiforceps,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus albiforceps
Dicrotendipes lobiger,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,Dicrotendipes lobiger
Pollenia pediculata,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia pediculata
Otiorhynchus crataegi,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus crataegi
Lumbricus sp.,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,NA
Cloeon dipterum,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum
Simulium sp.,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,NA
Willowsia nigromaculata,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Willowsia,Willowsia nigromaculata
Platypalpus longicornis,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus longicornis
Chaetogaster diastrophus,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster diastrophus
Fridericia connata,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia connata
Orthocladius musester,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius musester
Tipula lateralis,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula lateralis
Corynoptera perpusilla,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera perpusilla
Chaoborus obscuripes,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus obscuripes
Pseudosinella alba,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Pseudosinella,Pseudosinella alba
Tanytarsus usmaensis,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus usmaensis
Orthocladius sp.,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,NA
Leuctra major,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra major
Polyxenus lagurus,Arthropoda,Diplopoda,Polyxenida,Polyxenidae,Polyxenus,Polyxenus lagurus
Hyphydrus ovatus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hyphydrus,Hyphydrus ovatus
Scutigerella causeyae,Arthropoda,Symphyla,order_Scutigerellidae,Scutigerellidae,Scutigerella,Scutigerella causeyae
Achaeta iberica,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta iberica
Nostima picta,Arthropoda,Insecta,Diptera,Ephydridae,Nostima,Nostima picta
Suillia bicolor,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia bicolor
Fridericia eiseni,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia eiseni
Leuctra sp.,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,NA
Baetis rhodani,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis rhodani
Enchytraeus bulbosus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus bulbosus
Culicoides festivipennis,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,Culicoides festivipennis
Capnioneura nemuroides,Arthropoda,Insecta,Plecoptera,Capniidae,Capnioneura,Capnioneura nemuroides
Valenzuela flavidus,Arthropoda,Insecta,Psocoptera,Caeciliusidae,Valenzuela,Valenzuela flavidus
Cloeon sp.,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon,NA
Epuraea melanocephala,Arthropoda,Insecta,Coleoptera,Nitidulidae,Epuraea,Epuraea melanocephala
Allolobophora chlorotica,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,Allolobophora chlorotica
Ectopsocus sp.,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,NA
Aporrectodea nocturna,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea nocturna
Culicoides sp.,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,NA
Megaselia ciliata,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia ciliata
Ectopsocus briggsi,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus briggsi
Fridericia sylvatica,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia sylvatica
Sparganophilus tamesis,Annelida,Clitellata,Lumbriculida,Sparganophilidae,Sparganophilus,Sparganophilus tamesis
Aporrectodea longa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea longa
Corynoptera furcifera,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera furcifera
Lithobius microps,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,Lithobius microps
Protonemura intricata,Arthropoda,Insecta,Plecoptera,Nemouridae,Protonemura,Protonemura intricata
Endotricha flammealis,Arthropoda,Insecta,Lepidoptera,Pyralidae,Endotricha,Endotricha flammealis
Fridericia christeri,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia christeri
Liancalus virens,Arthropoda,Insecta,Diptera,Dolichopodidae,Liancalus,Liancalus virens
Clinotanypus nervosus,Arthropoda,Insecta,Diptera,Chironomidae,Clinotanypus,Clinotanypus nervosus
Callicerus rigidicornis,Arthropoda,Insecta,Coleoptera,Staphylinidae,Callicerus,Callicerus rigidicornis
Satchelliella trivialis,Arthropoda,Insecta,Diptera,Psychodidae,Satchelliella,Satchelliella trivialis
Tanytarsus nemorosus,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus nemorosus
Tanytarsus eminulus,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus eminulus
Folsomia candida,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Folsomia,Folsomia candida
Diacyclops sp.,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Diacyclops,NA
Platystoma seminationis,Arthropoda,Insecta,Diptera,Platystomatidae,Platystoma,Platystoma seminationis
Simulium noelleri,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium noelleri
Corynoptera cursor,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera cursor
Ablabesmyia monilis,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia monilis
Geophilus flavus,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Geophilus,Geophilus flavus
Fridericia granulocyta,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia granulocyta
Cognettia chlorophila,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Cognettia,Cognettia chlorophila
Mansonia sp.,Arthropoda,Insecta,Diptera,Culicidae,Mansonia,NA
Graphopsocus cruciatus,Arthropoda,Insecta,Psocoptera,Stenopsocidae,Graphopsocus,Graphopsocus cruciatus
Aporrectodea icterica,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea icterica
Limnophyes minimus,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes minimus
Rhyacodrilus falciformis,Annelida,Clitellata,Tubificida,Naididae,Rhyacodrilus,Rhyacodrilus falciformis
Zavreliella marmorata,Arthropoda,Insecta,Diptera,Chironomidae,Zavreliella,Zavreliella marmorata
Enchytraeus buchholzi,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeus,Enchytraeus buchholzi
Cataclysta lemnata,Arthropoda,Insecta,Lepidoptera,Crambidae,Cataclysta,Cataclysta lemnata
Simulium petricolum,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium petricolum
Clubiona terrestris,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona terrestris
Tectocepheus sarekensis,Arthropoda,Arachnida,Sarcoptiformes,Tectocepheidae,Tectocepheus,Tectocepheus sarekensis
Chrysopilus asiliformis,Arthropoda,Insecta,Diptera,Rhagionidae,Chrysopilus,Chrysopilus asiliformis
Fannia serena,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fannia serena
Mansonia uniformis,Arthropoda,Insecta,Diptera,Culicidae,Mansonia,Mansonia uniformis
Atheta crassicornis,Arthropoda,Insecta,Coleoptera,Staphylinidae,Atheta,Atheta crassicornis
Paratanytarsus dissimilis,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus dissimilis
Paratendipes albimanus,Arthropoda,Insecta,Diptera,Chironomidae,Paratendipes,Paratendipes albimanus
Culex hortensis,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex hortensis
Endochironomus albipennis,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus,Endochironomus albipennis
Neurigona quadrifasciata,Arthropoda,Insecta,Diptera,Dolichopodidae,Neurigona,Neurigona quadrifasciata
Einfeldia pagana,Arthropoda,Insecta,Diptera,Chironomidae,Einfeldia,Einfeldia pagana
Rhithrogena sp.,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,NA
Galerucella sagittariae,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella sagittariae
Galerucella sp.,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Galerucella,NA
Corynoptera furcata,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera furcata
Epistrophe melanostoma,Arthropoda,Insecta,Diptera,Syrphidae,Epistrophe,Epistrophe melanostoma
Eucyclops serrulatus,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops,Eucyclops serrulatus
Protonemura sp.,Arthropoda,Insecta,Plecoptera,Nemouridae,Protonemura,NA
Fannia polychaeta,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fannia polychaeta
Megalothorax willemi,Arthropoda,Collembola,Neelipleona,Neelidae,Megalothorax,Megalothorax willemi
Anoscopus serratulae,Arthropoda,Insecta,Hemiptera,Cicadellidae,Anoscopus,Anoscopus serratulae
Psectrotanypus varius,Arthropoda,Insecta,Diptera,Chironomidae,Psectrotanypus,Psectrotanypus varius
Dicranomyia chorea,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia chorea
Folsomia fimetaria,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Folsomia,Folsomia fimetaria
Diamesa sp.,Arthropoda,Insecta,Diptera,Chironomidae,Diamesa,NA
Friesea claviseta,Arthropoda,Collembola,Poduromorpha,Neanuridae,Friesea,Friesea claviseta
Calliphora sp.,Arthropoda,Insecta,Diptera,Calliphoridae,Calliphora,NA
Dendrobaena octaedra,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Dendrobaena octaedra
Paratanytarsus tenellulus,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus tenellulus
Leuctra hippopus,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra hippopus
Empis aestiva,Arthropoda,Insecta,Diptera,Empididae,Empis,Empis aestiva
Bryophaenocladius ictericus,Arthropoda,Insecta,Diptera,Chironomidae,Bryophaenocladius,Bryophaenocladius ictericus
Candona candida,Arthropoda,Ostracoda,Podocopida,Candonidae,Candona,Candona candida
Bilobella braunerae,Arthropoda,Collembola,Poduromorpha,Neanuridae,Bilobella,Bilobella braunerae
Sminthurinus sp.,Arthropoda,Collembola,Symphypleona,Katiannidae,Sminthurinus,NA
Bactericera albiventris,Arthropoda,Insecta,Hemiptera,Triozidae,Bactericera,Bactericera albiventris
Campyloneura virgula,Arthropoda,Insecta,Hemiptera,Miridae,Campyloneura,Campyloneura virgula
Bradysia trivittata,Arthropoda,Insecta,Diptera,Sciaridae,Bradysia,Bradysia trivittata
Lythraria salicariae,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Lythraria,Lythraria salicariae
Xantholinus linearis,Arthropoda,Insecta,Coleoptera,Staphylinidae,Xantholinus,Xantholinus linearis
Megaloceroea recticornis,Arthropoda,Insecta,Hemiptera,Miridae,Megaloceroea,Megaloceroea recticornis
Microtendipes chloris,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,Microtendipes chloris
Chydorus brevilabris,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,Chydorus brevilabris
Haliplus heydeni,Arthropoda,Insecta,Coleoptera,Haliplidae,Haliplus,Haliplus heydeni
Macropelopia nebulosa,Arthropoda,Insecta,Diptera,Chironomidae,Macropelopia,Macropelopia nebulosa
Ilyocoris cimicoides,Arthropoda,Insecta,Hemiptera,Naucoridae,Ilyocoris,Ilyocoris cimicoides
Chironomus curabilis,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus curabilis
Culex sp.,Arthropoda,Insecta,Diptera,Culicidae,Culex,NA
Crunoecia irrorata,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Crunoecia,Crunoecia irrorata
Chloromyia formosa,Arthropoda,Insecta,Diptera,Stratiomyidae,Chloromyia,Chloromyia formosa
Daphnia longispina,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,Daphnia longispina
Limnophyes pentaplastus,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes pentaplastus
Isotoma viridis,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Isotoma,Isotoma viridis
Keratella quadrata,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Keratella quadrata
Ceratophysella denticulata,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Ceratophysella,Ceratophysella denticulata
Parisotoma notabilis,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Parisotoma,Parisotoma notabilis
Micropsectra pallidula,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra pallidula
Kiefferulus tendipediformis,Arthropoda,Insecta,Diptera,Chironomidae,Kiefferulus,Kiefferulus tendipediformis
Sciapus sp.,Arthropoda,Insecta,Diptera,Dolichopodidae,Sciapus,NA
Sminthurinus reticulatus,Arthropoda,Collembola,Symphypleona,Katiannidae,Sminthurinus,Sminthurinus reticulatus
Daphnia sp.,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,NA
Allothrombium fuliginosum,Arthropoda,Arachnida,Trombidiformes,Trombidiidae,Allothrombium,Allothrombium fuliginosum
Stenodema laevigata,Arthropoda,Insecta,Hemiptera,Miridae,Stenodema,Stenodema laevigata
Lumbriculus variegatus,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus variegatus
Baetis sp.,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,NA
Valenzuela burmeisteri,Arthropoda,Insecta,Psocoptera,Caeciliusidae,Valenzuela,Valenzuela burmeisteri
Minettia longipennis,Arthropoda,Insecta,Diptera,Lauxaniidae,Minettia,Minettia longipennis
Palpomyia lineata,Arthropoda,Insecta,Diptera,Ceratopogonidae,Palpomyia,Palpomyia lineata
Orthocladius schnelli,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius schnelli
Diamesa insignipes,Arthropoda,Insecta,Diptera,Chironomidae,Diamesa,Diamesa insignipes
Cricotopus glacialis,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus glacialis
Bradysia vagans,Arthropoda,Insecta,Diptera,Sciaridae,Bradysia,Bradysia vagans
Simulium dunfellense,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium dunfellense
Trichocera saltator,Arthropoda,Insecta,Diptera,Trichoceridae,Trichocera,Trichocera saltator
Psectrocladius platypus,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius platypus
Bionychiurus tamilensis,Arthropoda,Collembola,Poduromorpha,Onychiuridae,Bionychiurus,Bionychiurus tamilensis
Dicyrtomina ornata,Arthropoda,Collembola,Symphypleona,Dicyrtomidae,Dicyrtomina,Dicyrtomina ornata
Scirtes sp.,Arthropoda,Insecta,Coleoptera,Scirtidae,Scirtes,NA
Antocha vitripennis,Arthropoda,Insecta,Diptera,Limoniidae,Antocha,Antocha vitripennis
Orchesella cincta,Arthropoda,Collembola,Entomobryomorpha,Orchesellidae,Orchesella,Orchesella cincta
Syrphus sp.,Arthropoda,Insecta,Diptera,Syrphidae,Syrphus,NA
Episyrphus sp.,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,NA
Platypalpus optivus,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus optivus
Parachironomus parilis,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,Parachironomus parilis
Megaselia parva,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia parva
Endochironomus tendens,Arthropoda,Insecta,Diptera,Chironomidae,Endochironomus,Endochironomus tendens
Parachironomus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,NA
Sialis lutaria,Arthropoda,Insecta,Megaloptera,Sialidae,Sialis,Sialis lutaria
Micropsectra atrofasciata,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra atrofasciata
Pollenia labialis,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia labialis
Octolasion sp.,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,NA
Malthinus frontalis,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthinus,Malthinus frontalis
Acroperus harpae,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Acroperus,Acroperus harpae
Nephrotoma quadrifaria,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma quadrifaria
Gisinianus flammeolus,Arthropoda,Collembola,Symphypleona,Katiannidae,Gisinianus,Gisinianus flammeolus
Fridericia bulboides,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia bulboides
Psilopa polita,Arthropoda,Insecta,Diptera,Ephydridae,Psilopa,Psilopa polita
Ephemera vulgata,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera vulgata
Limnesia undulata,Arthropoda,Arachnida,Trombidiformes,Limnesiidae,Limnesia,Limnesia undulata
Nephrotoma appendiculata,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma appendiculata
Metaphorura affinis,Arthropoda,Collembola,Poduromorpha,Tullbergiidae,Metaphorura,Metaphorura affinis
Anchomenus dorsalis,Arthropoda,Insecta,Coleoptera,Carabidae,Anchomenus,Anchomenus dorsalis
Anax sp.,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,NA
Dicraeus vagans,Arthropoda,Insecta,Diptera,Chloropidae,Dicraeus,Dicraeus vagans
Stercutus niveus,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Stercutus,Stercutus niveus
Chaoborus flavicans,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus flavicans
Corynoneura gratias,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura gratias
Thienemannimyia lentiginosa,Arthropoda,Insecta,Diptera,Chironomidae,Thienemannimyia,Thienemannimyia lentiginosa
Anax imperator,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,Anax imperator
Pammene sp.,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pammene,NA
Agathomyia falleni,Arthropoda,Insecta,Diptera,Platypezidae,Agathomyia,Agathomyia falleni
Psectrocladius conjungens,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius,Psectrocladius conjungens
Pilaria discicollis,Arthropoda,Insecta,Diptera,Limoniidae,Pilaria,Pilaria discicollis
Egle sp.,Arthropoda,Insecta,Diptera,Anthomyiidae,Egle,NA
Thienemanniella caspersi,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella,Thienemanniella caspersi
Cnephasia sp.,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cnephasia,NA
Megaselia berndseni,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia berndseni
Hydrellia albilabris,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,Hydrellia albilabris
Isoperla sp.,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,NA
Orthocladius smolandicus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius smolandicus
Atrichopogon muelleri,Arthropoda,Insecta,Diptera,Ceratopogonidae,Atrichopogon,Atrichopogon muelleri
Malthodes pumilus,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes pumilus
Lumbricus rubellus,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,Lumbricus rubellus
Micromus variegatus,Arthropoda,Insecta,Neuroptera,Hemerobiidae,Micromus,Micromus variegatus
Tanytarsus mendax,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus,Tanytarsus mendax
Orchesella villosa,Arthropoda,Collembola,Entomobryomorpha,Orchesellidae,Orchesella,Orchesella villosa
Paratanytarsus sp.,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,NA
Slavina appendiculata,Annelida,Clitellata,Tubificida,Naididae,Slavina,Slavina appendiculata
Paratanytarsus laetipes,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus laetipes
Coenagrion sp.,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,NA
Desoria trispinata,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Desoria,Desoria trispinata
Simulium angustipes,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium angustipes
Myllaena intermedia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Myllaena,Myllaena intermedia
