Interaction,Source_Name,Target_Name,Source_Rank,Target_Rank,ID,Source_Life_Stage,Target_Life_Stage
Anthomyiidae Philopotamidae,Anthomyiidae,Philopotamidae,Family,Family,2,Young,Young
Anthomyiidae Physidae,Anthomyiidae,Physidae,Family,Family,2,Young,Young
Anthomyiidae Plankton,Anthomyiidae,Plankton,Family,Feeding guild,2,Young,
Anthomyiidae Plants,Anthomyiidae,Plants,Family,Feeding guild,2,Adult,
Anthomyiidae Psychodidae,Anthomyiidae,Psychodidae,Family,Family,2,Young,Young
Anthomyiidae Ptychopteridae,Anthomyiidae,Ptychopteridae,Family,Family,2,Young,Young
Anthomyiidae Scirtidae,Anthomyiidae,Scirtidae,Family,Family,2,Young,Young
Anthomyiidae Simuliidae,Anthomyiidae,Simuliidae,Family,Family,2,Young,Young
Anthomyiidae Stratiomyidae,Anthomyiidae,Stratiomyidae,Family,Family,2,Young,Young
Anthomyiidae Syrphidae,Anthomyiidae,Syrphidae,Family,Family,2,Young,Young
Anthomyiidae Tipulidae,Anthomyiidae,Tipulidae,Family,Family,2,Young,Young
Arionidae Plants,Arionidae,Plants,Family,Feeding guild,2,Adult,
Arrenuridae Candonidae,Arrenuridae,Candonidae,Family,Family,3,Adult,
Arrenuridae Cyprididae,Arrenuridae,Cyprididae,Family,Family,3,Young,
Baetidae Algae,Baetidae,Algae,Family,Feeding guild,2,,
Baetidae Microbes,Baetidae,Microbes,Family,Feeding guild,2,,
Baetidae Plants,Baetidae,Plants,Family,Feeding guild,2,Young,
Brachionidae Algae,Brachionidae,Algae,Family,Feeding guild,4,Young and Adult,
Caenidae Algae,Caenidae,Algae,Family,Feeding guild,2,,
Caenidae Aquatic detritus,Caenidae,Aquatic detritus,Family,Feeding guild,2,,
Caenidae Microbes,Caenidae,Microbes,Family,Feeding guild,2,,
Caenidae Plants,Caenidae,Plants,Family,Feeding guild,2,Young,
Calliphoridae Annelida,Calliphoridae,Annelida,Family,Feeding guild,80,Young,Young and Adult
Calliphoridae Calliphoridae,Calliphoridae,Calliphoridae,Family,Family,1,,
Calliphoridae Plants,Calliphoridae,Plants,Family,Feeding guild,2,Adult,
Calliphoridae Scavenger,Calliphoridae,Scavenger,Family,Feeding guild,2,,
Candonidae Aquatic detritus,Candonidae,Aquatic detritus,Family,Feeding guild,5,Young and Adult,
Cantharidae Annelida,Cantharidae,Annelida,Family,Feeding guild,2; 80,Adult,Young and Adult
Cantharidae Calliphoridae,Cantharidae,Calliphoridae,Family,Family,1,Young,Young
Cantharidae Cantharidae,Cantharidae,Cantharidae,Family,Family,1,Young and Adult,Young and Adult
Cantharidae Chordeumatidae,Cantharidae,Chordeumatidae,Family,Family,1,Young and Adult,Young and Adult
Cantharidae Chrysomelidae,Cantharidae,Chrysomelidae,Family,Family,1,Adult,Adult
Cantharidae Cicadellidae,Cantharidae,Cicadellidae,Family,Family,1,,
Cantharidae Clubionidae,Cantharidae,Clubionidae,Family,Family,1,Young,Young
Cantharidae Curculionidae,Cantharidae,Curculionidae,Family,Family,1,Young and Adult,Young and Adult
Cantharidae Elateridae,Cantharidae,Elateridae,Family,Family,1,Young,Young
Cantharidae Geophilidae,Cantharidae,Geophilidae,Family,Family,1,Young and Adult,Young and Adult
Cantharidae Lampyridae,Cantharidae,Lampyridae,Family,Family,1,Young,Young
Cantharidae Lycosidae,Cantharidae,Lycosidae,Family,Family,1,Young,Young
Cantharidae Lygaeidae,Cantharidae,Lygaeidae,Family,Family,1,,
Cantharidae Miridae,Cantharidae,Miridae,Family,Family,1,,
Cantharidae Nitidulidae,Cantharidae,Nitidulidae,Family,Family,1,Adult,Adult
Cantharidae Plants,Cantharidae,Plants,Family,Feeding guild,2,,
Cantharidae Rhyparochromidae,Cantharidae,Rhyparochromidae,Family,Family,1,,
Cantharidae Sarcophagidae,Cantharidae,Sarcophagidae,Family,Family,1,Young,Young
Cantharidae Scarabaeidae,Cantharidae,Scarabaeidae,Family,Family,1,,
Cantharidae Staphylinidae,Cantharidae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Canthocamptidae Plankton,Canthocamptidae,Plankton,Family,Feeding guild,6,Young and Adult,
Capniidae Algae,Capniidae,Algae,Family,Feeding guild,2,,
Capniidae Cerambycidae,Capniidae,Cerambycidae,Family,Family,1,,
Capniidae Plants,Capniidae,Plants,Family,Feeding guild,2,Young,
Carabidae Annelida,Carabidae,Annelida,Family,Feeding guild,80,Adult,Young and Adult
Carabidae Arionidae,Carabidae,Arionidae,Family,Family,1; 2,Adult,Adult
Carabidae Calliphoridae,Carabidae,Calliphoridae,Family,Family,1,Young,Young
Carabidae Cantharidae,Carabidae,Cantharidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Carabidae,Carabidae,Carabidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Cerambycidae,Carabidae,Cerambycidae,Family,Family,1,Young,Young
Carabidae Chordeumatidae,Carabidae,Chordeumatidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Chrysomelidae,Carabidae,Chrysomelidae,Family,Family,1; 2,Young and Adult,Young and Adult
Carabidae Cicadellidae,Carabidae,Cicadellidae,Family,Family,1,,
Carabidae Clubionidae,Carabidae,Clubionidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Coccinellidae,Carabidae,Coccinellidae,Family,Family,1,Adult,Adult
Carabidae Collembola,Carabidae,Collembola,Family,Feeding guild,65; 73; 74; 84; 88,Adult,Young and Adult
Carabidae Curculionidae,Carabidae,Curculionidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Dytiscidae,Carabidae,Dytiscidae,Family,Family,1,Young,Young
Carabidae Elateridae,Carabidae,Elateridae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Erebidae,Carabidae,Erebidae,Family,Family,2,,
Carabidae Formicidae,Carabidae,Formicidae,Family,Family,2,Adult,
Carabidae Geometridae,Carabidae,Geometridae,Family,Family,1,,
Carabidae Geophilidae,Carabidae,Geophilidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Lampyridae,Carabidae,Lampyridae,Family,Family,1,Young,Young
Carabidae Lycosidae,Carabidae,Lycosidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Lygaeidae,Carabidae,Lygaeidae,Family,Family,1,,
Carabidae Lymnaeidae,Carabidae,Lymnaeidae,Family,Family,1,,
Carabidae Miridae,Carabidae,Miridae,Family,Family,1,,
Carabidae Nitidulidae,Carabidae,Nitidulidae,Family,Family,1,Adult,Adult
Carabidae Plants,Carabidae,Plants,Family,Feeding guild,2,Adult,
Carabidae Rhyparochromidae,Carabidae,Rhyparochromidae,Family,Family,1,,
Carabidae Sarcophagidae,Carabidae,Sarcophagidae,Family,Family,1,Young,Young
Carabidae Scarabaeidae,Carabidae,Scarabaeidae,Family,Family,1,Young,Young
Carabidae Scutigerellidae,Carabidae,Scutigerellidae,Family,Family,93,Young and Adult,Adult
Carabidae Staphylinidae,Carabidae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Carabidae Syrphidae,Carabidae,Syrphidae,Family,Family,1,,
Carabidae Tenthredinidae,Carabidae,Tenthredinidae,Family,Family,2,,Adult
Cecidomyiidae Cecidomyiidae,Cecidomyiidae,Cecidomyiidae,Family,Family,1,,
Cecidomyiidae Plants,Cecidomyiidae,Plants,Family,Feeding guild,2,,
Cerambycidae Cerambycidae,Cerambycidae,Cerambycidae,Family,Family,1; 2,,
Cerambycidae Fungi,Cerambycidae,Fungi,Family,Feeding guild,2,,
Cerambycidae Plants,Cerambycidae,Plants,Family,Feeding guild,2,Young and Adult,
Cerambycidae Terrestrial detritus,Cerambycidae,Terrestrial detritus,Family,Feeding guild,2,,
Ceratopogonidae Annelida,Ceratopogonidae,Annelida,Family,Feeding guild,2,Young,Young
Ceratopogonidae Baetidae,Ceratopogonidae,Baetidae,Family,Family,2,Young,Young
Ceratopogonidae Caenidae,Ceratopogonidae,Caenidae,Family,Family,2,Young,Young
Ceratopogonidae Capniidae,Ceratopogonidae,Capniidae,Family,Family,2,Young,Young
Ceratopogonidae Chironomidae,Ceratopogonidae,Chironomidae,Family,Family,2,Young,Young
Ceratopogonidae Chrysomelidae,Ceratopogonidae,Chrysomelidae,Family,Family,2,Young,Young
Ceratopogonidae Culicidae,Ceratopogonidae,Culicidae,Family,Family,2,Young,Young
Ceratopogonidae Curculionidae,Ceratopogonidae,Curculionidae,Family,Family,2,Young,Young
Ceratopogonidae Dixidae,Ceratopogonidae,Dixidae,Family,Family,2,Young,Young
Ceratopogonidae Dryopidae,Ceratopogonidae,Dryopidae,Family,Family,2,Young,Young
Ceratopogonidae Elmidae,Ceratopogonidae,Elmidae,Family,Family,2,Young,Young
Ceratopogonidae Ephemeridae,Ceratopogonidae,Ephemeridae,Family,Family,2,Young,Young
Ceratopogonidae Ephydridae,Ceratopogonidae,Ephydridae,Family,Family,2,Young,Young
Ceratopogonidae Gammaridae,Ceratopogonidae,Gammaridae,Family,Family,2,Young,Young
Ceratopogonidae Haematophagous,Ceratopogonidae,Haematophagous,Family,Feeding guild,2,Adult,
Ceratopogonidae Haliplidae,Ceratopogonidae,Haliplidae,Family,Family,2,Young,Young
Ceratopogonidae Heptageniidae,Ceratopogonidae,Heptageniidae,Family,Family,2,Young,Young
Ceratopogonidae Hydrophilidae,Ceratopogonidae,Hydrophilidae,Family,Family,2,Young,Young
Ceratopogonidae Lepidostomatidae,Ceratopogonidae,Lepidostomatidae,Family,Family,2,Young,Young
Ceratopogonidae Leuctridae,Ceratopogonidae,Leuctridae,Family,Family,2,Young,Young
Ceratopogonidae Limnephilidae,Ceratopogonidae,Limnephilidae,Family,Family,2,Young,Young
Ceratopogonidae Limoniidae,Ceratopogonidae,Limoniidae,Family,Family,2,Young,Young
Ceratopogonidae Lymnaeidae,Ceratopogonidae,Lymnaeidae,Family,Family,2,Young,Young
Ceratopogonidae Nemouridae,Ceratopogonidae,Nemouridae,Family,Family,2,Young,Young
Ceratopogonidae Philopotamidae,Ceratopogonidae,Philopotamidae,Family,Family,2,Young,Young
Ceratopogonidae Physidae,Ceratopogonidae,Physidae,Family,Family,2,Young,Young
Ceratopogonidae Plankton,Ceratopogonidae,Plankton,Family,Feeding guild,2,Young,
Ceratopogonidae Plants,Ceratopogonidae,Plants,Family,Feeding guild,2,Adult,
Ceratopogonidae Psychodidae,Ceratopogonidae,Psychodidae,Family,Family,2,Young,Young
Ceratopogonidae Ptychopteridae,Ceratopogonidae,Ptychopteridae,Family,Family,2,Young,Young
Ceratopogonidae Scirtidae,Ceratopogonidae,Scirtidae,Family,Family,2,Young,Young
Ceratopogonidae Simuliidae,Ceratopogonidae,Simuliidae,Family,Family,2,Young,Young
Ceratopogonidae Stratiomyidae,Ceratopogonidae,Stratiomyidae,Family,Family,2,Young,Young
Ceratopogonidae Syrphidae,Ceratopogonidae,Syrphidae,Family,Family,2,Young,Young
Ceratopogonidae Tipulidae,Ceratopogonidae,Tipulidae,Family,Family,2,Young,Young
Chaoboridae Annelida,Chaoboridae,Annelida,Family,Feeding guild,2,Young,Young
Chaoboridae Baetidae,Chaoboridae,Baetidae,Family,Family,2,Young,Young
Chaoboridae Brachionidae,Chaoboridae,Brachionidae,Family,Family,49,,
Chaoboridae Caenidae,Chaoboridae,Caenidae,Family,Family,2,Young,Young
Chaoboridae Capniidae,Chaoboridae,Capniidae,Family,Family,2,Young,Young
Chaoboridae Chironomidae,Chaoboridae,Chironomidae,Family,Family,2,Young,Young
Chaoboridae Chrysomelidae,Chaoboridae,Chrysomelidae,Family,Family,2,Young,Young
Chaoboridae Culicidae,Chaoboridae,Culicidae,Family,Family,2,Young,Young
Chaoboridae Curculionidae,Chaoboridae,Curculionidae,Family,Family,2,Young,Young
Chaoboridae Daphniidae,Chaoboridae,Daphniidae,Family,Family,55,Young and Adult,
Chaoboridae Dixidae,Chaoboridae,Dixidae,Family,Family,2,Young,Young
Chaoboridae Dryopidae,Chaoboridae,Dryopidae,Family,Family,2,Young,Young
Chaoboridae Elmidae,Chaoboridae,Elmidae,Family,Family,2,Young,Young
Chaoboridae Ephemeridae,Chaoboridae,Ephemeridae,Family,Family,2,Young,Young
Chaoboridae Ephydridae,Chaoboridae,Ephydridae,Family,Family,2,Young,Young
Chaoboridae Gammaridae,Chaoboridae,Gammaridae,Family,Family,2,Young,Young
Chaoboridae Haliplidae,Chaoboridae,Haliplidae,Family,Family,2,Young,Young
Chaoboridae Heptageniidae,Chaoboridae,Heptageniidae,Family,Family,2,Young,Young
Chaoboridae Hydrophilidae,Chaoboridae,Hydrophilidae,Family,Family,2,Young,Young
Chaoboridae Lepidostomatidae,Chaoboridae,Lepidostomatidae,Family,Family,2,Young,Young
Chaoboridae Leuctridae,Chaoboridae,Leuctridae,Family,Family,2,Young,Young
Chaoboridae Limnephilidae,Chaoboridae,Limnephilidae,Family,Family,2,Young,Young
Chaoboridae Limoniidae,Chaoboridae,Limoniidae,Family,Family,2,Young,Young
Chaoboridae Lymnaeidae,Chaoboridae,Lymnaeidae,Family,Family,2,Young,Young
Chaoboridae Nemouridae,Chaoboridae,Nemouridae,Family,Family,2,Young,Young
Chaoboridae Philopotamidae,Chaoboridae,Philopotamidae,Family,Family,2,Young,Young
Chaoboridae Physidae,Chaoboridae,Physidae,Family,Family,2,Young,Young
Chaoboridae Plankton,Chaoboridae,Plankton,Family,Feeding guild,2,Young,
Chaoboridae Plants,Chaoboridae,Plants,Family,Feeding guild,2,Adult,
Chaoboridae Psychodidae,Chaoboridae,Psychodidae,Family,Family,2,Young,Young
Chaoboridae Ptychopteridae,Chaoboridae,Ptychopteridae,Family,Family,2,Young,Young
Chaoboridae Scirtidae,Chaoboridae,Scirtidae,Family,Family,2,Young,Young
Chaoboridae Simuliidae,Chaoboridae,Simuliidae,Family,Family,2,Young,Young
Chaoboridae Stratiomyidae,Chaoboridae,Stratiomyidae,Family,Family,2,Young,Young
Chaoboridae Syrphidae,Chaoboridae,Syrphidae,Family,Family,2,Young,Young
Chaoboridae Tipulidae,Chaoboridae,Tipulidae,Family,Family,2,Young,Young
Chironomidae Algae,Chironomidae,Algae,Family,Feeding guild,2,Young,
Chironomidae Aquatic detritus,Chironomidae,Aquatic detritus,Family,Feeding guild,2,,
Chironomidae Baetidae,Chironomidae,Baetidae,Family,Family,1,,
Chironomidae Candonidae,Chironomidae,Candonidae,Family,Family,51,Young,
Chironomidae Canthocamptidae,Chironomidae,Canthocamptidae,Family,Family,52,Young,
Chironomidae Cerambycidae,Chironomidae,Cerambycidae,Family,Family,1,,
Chironomidae Chironomidae,Chironomidae,Chironomidae,Family,Family,1,Young,Young
Chironomidae Chydoridae,Chironomidae,Chydoridae,Family,Family,52,Young,
Chironomidae Cyprididae,Chironomidae,Cyprididae,Family,Family,51,Young,
Chironomidae Dasydytidae,Chironomidae,Dasydytidae,Family,Family,57,Young,
Chironomidae Fungi,Chironomidae,Fungi,Family,Feeding guild,2,,
Chironomidae Gammaridae,Chironomidae,Gammaridae,Family,Family,1,,
Chironomidae Heptageniidae,Chironomidae,Heptageniidae,Family,Family,1,,
Chironomidae Leuctridae,Chironomidae,Leuctridae,Family,Family,1,Young,Young
Chironomidae Limnephilidae,Chironomidae,Limnephilidae,Family,Family,1,Young,Young
Chironomidae Limnesiidae,Chironomidae,Limnesiidae,Family,Family,77,Young,Young and Adult
Chironomidae Muscidae,Chironomidae,Muscidae,Family,Family,1,,
Chironomidae Nemouridae,Chironomidae,Nemouridae,Family,Family,1,Young,Young
Chironomidae Plankton,Chironomidae,Plankton,Family,Feeding guild,2,Young,
Chironomidae Plants,Chironomidae,Plants,Family,Feeding guild,2,Young,Young
Chironomidae Sialidae,Chironomidae,Sialidae,Family,Family,1,Young,Young
Chironomidae Simuliidae,Chironomidae,Simuliidae,Family,Family,1,,
Chironomidae Tipulidae,Chironomidae,Tipulidae,Family,Family,1,Young,Young
Chloropidae Chloropidae,Chloropidae,Chloropidae,Family,Family,2,,
Chloropidae Plants,Chloropidae,Plants,Family,Feeding guild,2,,
Chordeumatidae Terrestrial detritus,Chordeumatidae,Terrestrial detritus,Family,Feeding guild,2,Young and Adult,
Chrysomelidae Chrysomelidae,Chrysomelidae,Chrysomelidae,Family,Family,1; 2,,
Chrysomelidae Formicidae,Chrysomelidae,Formicidae,Family,Family,2,Young,
Chrysomelidae Plants,Chrysomelidae,Plants,Family,Feeding guild,2,Young and Adult,Young
Chrysomelidae Terrestrial detritus,Chrysomelidae,Terrestrial detritus,Family,Feeding guild,2,Young,
Chydoridae Algae,Chydoridae,Algae,Family,Feeding guild,7,Young and Adult,
Chydoridae Aquatic detritus,Chydoridae,Aquatic detritus,Family,Feeding guild,7,Young and Adult,
Cicadellidae Cicadellidae,Cicadellidae,Cicadellidae,Family,Family,1; 2,,
Cicadellidae Plants,Cicadellidae,Plants,Family,Feeding guild,2,Young and Adult,
Clubionidae Agromyzidae,Clubionidae,Agromyzidae,Family,Family,1,,
Clubionidae Baetidae,Clubionidae,Baetidae,Family,Family,1,,
Clubionidae Cantharidae,Clubionidae,Cantharidae,Family,Family,1,Young and Adult,Young and Adult
Clubionidae Carabidae,Clubionidae,Carabidae,Family,Family,1,Adult,Adult
Clubionidae Cecidomyiidae,Clubionidae,Cecidomyiidae,Family,Family,1,,
Clubionidae Cerambycidae,Clubionidae,Cerambycidae,Family,Family,1,Young,Young
Clubionidae Ceratopogonidae,Clubionidae,Ceratopogonidae,Family,Family,1,,
Clubionidae Chironomidae,Clubionidae,Chironomidae,Family,Family,1,,
Clubionidae Chloropidae,Clubionidae,Chloropidae,Family,Family,1,,
Clubionidae Chrysomelidae,Clubionidae,Chrysomelidae,Family,Family,1,,
Clubionidae Cicadellidae,Clubionidae,Cicadellidae,Family,Family,1,Young,Young
Clubionidae Clubionidae,Clubionidae,Clubionidae,Family,Family,1,Young and Adult,Young and Adult
Clubionidae Coccinellidae,Clubionidae,Coccinellidae,Family,Family,1,,
Clubionidae Curculionidae,Clubionidae,Curculionidae,Family,Family,1,Adult,Adult
Clubionidae Dolichopodidae,Clubionidae,Dolichopodidae,Family,Family,1,,
Clubionidae Drosophilidae,Clubionidae,Drosophilidae,Family,Family,1,,
Clubionidae Ectobiidae,Clubionidae,Ectobiidae,Family,Family,59,Young and Adult,
Clubionidae Elateridae,Clubionidae,Elateridae,Family,Family,1,Young and Adult,Young and Adult
Clubionidae Empididae,Clubionidae,Empididae,Family,Family,1,,
Clubionidae Ephydridae,Clubionidae,Ephydridae,Family,Family,1,,
Clubionidae Formicidae,Clubionidae,Formicidae,Family,Family,1,,
Clubionidae Geophilidae,Clubionidae,Geophilidae,Family,Family,1,Adult,Adult
Clubionidae Hybotidae,Clubionidae,Hybotidae,Family,Family,1,,
Clubionidae Lampyridae,Clubionidae,Lampyridae,Family,Family,1,Young,Young
Clubionidae Limoniidae,Clubionidae,Limoniidae,Family,Family,1,,
Clubionidae Lycosidae,Clubionidae,Lycosidae,Family,Family,1,,
Clubionidae Lygaeidae,Clubionidae,Lygaeidae,Family,Family,1,,
Clubionidae Miridae,Clubionidae,Miridae,Family,Family,1,,
Clubionidae Muscidae,Clubionidae,Muscidae,Family,Family,1,,
Clubionidae Nitidulidae,Clubionidae,Nitidulidae,Family,Family,1,Adult,Adult
Clubionidae Phoridae,Clubionidae,Phoridae,Family,Family,1,,
Clubionidae Psychodidae,Clubionidae,Psychodidae,Family,Family,1,Adult,Adult
Clubionidae Rhyparochromidae,Clubionidae,Rhyparochromidae,Family,Family,1,,
Clubionidae Sciaridae,Clubionidae,Sciaridae,Family,Family,1,,
Clubionidae Sciomyzidae,Clubionidae,Sciomyzidae,Family,Family,1,,
Clubionidae Staphylinidae,Clubionidae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Clubionidae Syrphidae,Clubionidae,Syrphidae,Family,Family,1,,
Coccinellidae Chrysomelidae,Coccinellidae,Chrysomelidae,Family,Family,1; 2,Young,Young
Coccinellidae Cicadellidae,Coccinellidae,Cicadellidae,Family,Family,1,,
Coccinellidae Coccinellidae,Coccinellidae,Coccinellidae,Family,Family,1; 2,,
Coccinellidae Collembola,Coccinellidae,Collembola,Family,Feeding guild,65; 88,Young and Adult,Young and Adult
Coccinellidae Crambidae,Coccinellidae,Crambidae,Family,Family,53,Adult,Young
Coccinellidae Elipsocidae,Coccinellidae,Elipsocidae,Family,Family,63,Young and Adult,Egg
Coccinellidae Geometridae,Coccinellidae,Geometridae,Family,Family,1,,
Coccinellidae Lygaeidae,Coccinellidae,Lygaeidae,Family,Family,1,,
Coccinellidae Miridae,Coccinellidae,Miridae,Family,Family,1,,
Coccinellidae Plants,Coccinellidae,Plants,Family,Feeding guild,2,Young and Adult,
Coccinellidae Rhyparochromidae,Coccinellidae,Rhyparochromidae,Family,Family,1,,
Coccinellidae Scarabaeidae,Coccinellidae,Scarabaeidae,Family,Family,1,,
Coccinellidae Tabanidae,Coccinellidae,Tabanidae,Family,Family,98,Young,Egg
Coenagrionidae Annelida,Coenagrionidae,Annelida,Family,Feeding guild,2,Young,Young
Coenagrionidae Anthomyiidae,Coenagrionidae,Anthomyiidae,Family,Family,2,Adult,
Coenagrionidae Baetidae,Coenagrionidae,Baetidae,Family,Family,1; 2,Young,Young
Coenagrionidae Caeciliusidae,Coenagrionidae,Caeciliusidae,Family,Family,50,Adult,Adult
