"","Interaction","Source_Name","Target_Name","Source_Rank","Target_Rank","fg"
"24","Aeshnidae Hybotidae","Aeshnidae","Hybotidae","Family","Family","Predator"
"25","Aeshnidae Lauxaniidae","Aeshnidae","Lauxaniidae","Family","Family","Predator"
"26","Aeshnidae Libellulidae","Aeshnidae","Libellulidae","Family","Family","Predator"
"27","Aeshnidae Limnephilidae","Aeshnidae","Limnephilidae","Family","Family","Predator"
"28","Aeshnidae Limoniidae","Aeshnidae","Limoniidae","Family","Family","Predator"
"29","Aeshnidae Lonchopteridae","Aeshnidae","Lonchopteridae","Family","Family","Predator"
"30","Aeshnidae Lymnaeidae","Aeshnidae","Lymnaeidae","Family","Family","Predator"
"31","Aeshnidae Muscidae","Aeshnidae","Muscidae","Family","Family","Predator"
"32","Aeshnidae Noctuidae","Aeshnidae","Noctuidae","Family","Family","Predator"
"33","Aeshnidae Notonectidae","Aeshnidae","Notonectidae","Family","Family","Predator"
"34","Aeshnidae Phoridae","Aeshnidae","Phoridae","Family","Family","Predator"
"35","Aeshnidae Psychodidae","Aeshnidae","Psychodidae","Family","Family","Predator"
"36","Aeshnidae Sarcophagidae","Aeshnidae","Sarcophagidae","Family","Family","Predator"
"37","Aeshnidae Sciaridae","Aeshnidae","Sciaridae","Family","Family","Predator"
"38","Aeshnidae Sciomyzidae","Aeshnidae","Sciomyzidae","Family","Family","Predator"
"39","Aeshnidae Sialidae","Aeshnidae","Sialidae","Family","Family","Predator"
"40","Aeshnidae Syrphidae","Aeshnidae","Syrphidae","Family","Family","Predator"
"41","Agromyzidae Agromyzidae","Agromyzidae","Agromyzidae","Family","Family","Omnivore"
"42","Agromyzidae Plants","Agromyzidae","Plants","Family","Feeding guild","Omnivore"
"43","Agromyzidae Tephritidae","Agromyzidae","Tephritidae","Family","Family","Omnivore"
"44","Ameroseiidae Plants","Ameroseiidae","Plants","Family","Feeding guild","Herbivore"
"45","Annelida Algae","Lumbricidae","Algae","Feeding guild","Feeding guild","Omnivore"
"47","Annelida Algae","Enchytraeidae","Algae","Feeding guild","Feeding guild","Omnivore"
"48","Annelida Algae","Megascolecidae","Algae","Feeding guild","Feeding guild","Omnivore"
"62","Annelida Algae","Naididae","Algae","Feeding guild","Feeding guild","Omnivore"
"70","Annelida Algae","Sparganophilidae","Algae","Feeding guild","Feeding guild","Omnivore"
"79","Annelida Algae","Lumbriculidae","Algae","Feeding guild","Feeding guild","Omnivore"
"85","Annelida Algae","Erpobdellidae","Algae","Feeding guild","Feeding guild","Omnivore"
"106","Annelida Aquatic detritus","Lumbricidae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"108","Annelida Aquatic detritus","Enchytraeidae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"109","Annelida Aquatic detritus","Megascolecidae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"123","Annelida Aquatic detritus","Naididae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"131","Annelida Aquatic detritus","Sparganophilidae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"140","Annelida Aquatic detritus","Lumbriculidae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"146","Annelida Aquatic detritus","Erpobdellidae","Aquatic detritus","Feeding guild","Feeding guild","Omnivore"
"167","Annelida Chironomidae","Lumbricidae","Chironomidae","Feeding guild","Family","Omnivore"
"169","Annelida Chironomidae","Enchytraeidae","Chironomidae","Feeding guild","Family","Omnivore"
"170","Annelida Chironomidae","Megascolecidae","Chironomidae","Feeding guild","Family","Omnivore"
"184","Annelida Chironomidae","Naididae","Chironomidae","Feeding guild","Family","Omnivore"
"192","Annelida Chironomidae","Sparganophilidae","Chironomidae","Feeding guild","Family","Omnivore"
"201","Annelida Chironomidae","Lumbriculidae","Chironomidae","Feeding guild","Family","Omnivore"
"207","Annelida Chironomidae","Erpobdellidae","Chironomidae","Feeding guild","Family","Omnivore"
"228","Annelida Fungi","Lumbricidae","Fungi","Feeding guild","Feeding guild","Omnivore"
"230","Annelida Fungi","Enchytraeidae","Fungi","Feeding guild","Feeding guild","Omnivore"
"231","Annelida Fungi","Megascolecidae","Fungi","Feeding guild","Feeding guild","Omnivore"
"245","Annelida Fungi","Naididae","Fungi","Feeding guild","Feeding guild","Omnivore"
"253","Annelida Fungi","Sparganophilidae","Fungi","Feeding guild","Feeding guild","Omnivore"
"262","Annelida Fungi","Lumbriculidae","Fungi","Feeding guild","Feeding guild","Omnivore"
"268","Annelida Fungi","Erpobdellidae","Fungi","Feeding guild","Feeding guild","Omnivore"
"289","Annelida Terrestrial detritus","Lumbricidae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"291","Annelida Terrestrial detritus","Enchytraeidae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"292","Annelida Terrestrial detritus","Megascolecidae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"306","Annelida Terrestrial detritus","Naididae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"314","Annelida Terrestrial detritus","Sparganophilidae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"323","Annelida Terrestrial detritus","Lumbriculidae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"329","Annelida Terrestrial detritus","Erpobdellidae","Terrestrial detritus","Feeding guild","Feeding guild","Omnivore"
"350","Anthomyiidae Baetidae","Anthomyiidae","Baetidae","Family","Family","Omnivore"
"351","Anthomyiidae Caenidae","Anthomyiidae","Caenidae","Family","Family","Omnivore"
"352","Anthomyiidae Capniidae","Anthomyiidae","Capniidae","Family","Family","Omnivore"
"353","Anthomyiidae Chironomidae","Anthomyiidae","Chironomidae","Family","Family","Omnivore"
"354","Anthomyiidae Chrysomelidae","Anthomyiidae","Chrysomelidae","Family","Family","Omnivore"
"355","Anthomyiidae Culicidae","Anthomyiidae","Culicidae","Family","Family","Omnivore"
"356","Anthomyiidae Curculionidae","Anthomyiidae","Curculionidae","Family","Family","Omnivore"
"357","Anthomyiidae Dixidae","Anthomyiidae","Dixidae","Family","Family","Omnivore"
"358","Anthomyiidae Dryopidae","Anthomyiidae","Dryopidae","Family","Family","Omnivore"
"359","Anthomyiidae Elmidae","Anthomyiidae","Elmidae","Family","Family","Omnivore"
"360","Anthomyiidae Ephemeridae","Anthomyiidae","Ephemeridae","Family","Family","Omnivore"
"361","Anthomyiidae Ephydridae","Anthomyiidae","Ephydridae","Family","Family","Omnivore"
"362","Anthomyiidae Gammaridae","Anthomyiidae","Gammaridae","Family","Family","Omnivore"
"363","Anthomyiidae Haliplidae","Anthomyiidae","Haliplidae","Family","Family","Omnivore"
"364","Anthomyiidae Heptageniidae","Anthomyiidae","Heptageniidae","Family","Family","Omnivore"
"365","Anthomyiidae Hydrophilidae","Anthomyiidae","Hydrophilidae","Family","Family","Omnivore"
"366","Anthomyiidae Lepidostomatidae","Anthomyiidae","Lepidostomatidae","Family","Family","Omnivore"
"367","Anthomyiidae Leuctridae","Anthomyiidae","Leuctridae","Family","Family","Omnivore"
"368","Anthomyiidae Limnephilidae","Anthomyiidae","Limnephilidae","Family","Family","Omnivore"
"369","Anthomyiidae Limoniidae","Anthomyiidae","Limoniidae","Family","Family","Omnivore"
"370","Anthomyiidae Lymnaeidae","Anthomyiidae","Lymnaeidae","Family","Family","Omnivore"
"371","Anthomyiidae Nemouridae","Anthomyiidae","Nemouridae","Family","Family","Omnivore"
"372","Anthomyiidae Philopotamidae","Anthomyiidae","Philopotamidae","Family","Family","Omnivore"
"373","Anthomyiidae Physidae","Anthomyiidae","Physidae","Family","Family","Omnivore"
"374","Anthomyiidae Plankton","Anthomyiidae","Plankton","Family","Feeding guild","Omnivore"
"375","Anthomyiidae Plants","Anthomyiidae","Plants","Family","Feeding guild","Omnivore"
"376","Anthomyiidae Psychodidae","Anthomyiidae","Psychodidae","Family","Family","Omnivore"
"377","Anthomyiidae Ptychopteridae","Anthomyiidae","Ptychopteridae","Family","Family","Omnivore"
"378","Anthomyiidae Scirtidae","Anthomyiidae","Scirtidae","Family","Family","Omnivore"
"379","Anthomyiidae Simuliidae","Anthomyiidae","Simuliidae","Family","Family","Omnivore"
"380","Anthomyiidae Stratiomyidae","Anthomyiidae","Stratiomyidae","Family","Family","Omnivore"
"381","Anthomyiidae Syrphidae","Anthomyiidae","Syrphidae","Family","Family","Omnivore"
"382","Anthomyiidae Tipulidae","Anthomyiidae","Tipulidae","Family","Family","Omnivore"
"383","Arionidae Plants","Arionidae","Plants","Family","Feeding guild","Herbivore"
"384","Arrenuridae Candonidae","Arrenuridae","Candonidae","Family","Family","Predator"
"385","Arrenuridae Cyprididae","Arrenuridae","Cyprididae","Family","Family","Predator"
"386","Baetidae Algae","Baetidae","Algae","Family","Feeding guild","Phytosaprophage"
"387","Baetidae Microbes","Baetidae","Microbes","Family","Feeding guild","Phytosaprophage"
"388","Baetidae Plants","Baetidae","Plants","Family","Feeding guild","Phytosaprophage"
"389","Brachionidae Algae","Brachionidae","Algae","Family","Feeding guild","Detritivore"
"390","Caenidae Algae","Caenidae","Algae","Family","Feeding guild","Phytosaprophage"
"391","Caenidae Aquatic detritus","Caenidae","Aquatic detritus","Family","Feeding guild","Phytosaprophage"
"392","Caenidae Microbes","Caenidae","Microbes","Family","Feeding guild","Phytosaprophage"
"393","Caenidae Plants","Caenidae","Plants","Family","Feeding guild","Phytosaprophage"
"394","Calliphoridae Calliphoridae","Calliphoridae","Calliphoridae","Family","Family","Omnivore"
"395","Calliphoridae Plants","Calliphoridae","Plants","Family","Feeding guild","Omnivore"
"396","Calliphoridae Scavenger","Calliphoridae","Scavenger","Family","Feeding guild","Omnivore"
"397","Candonidae Aquatic detritus","Candonidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"398","Cantharidae Calliphoridae","Cantharidae","Calliphoridae","Family","Family","Omnivore"
"399","Cantharidae Cantharidae","Cantharidae","Cantharidae","Family","Family","Omnivore"
"400","Cantharidae Chordeumatidae","Cantharidae","Chordeumatidae","Family","Family","Omnivore"
"401","Cantharidae Chrysomelidae","Cantharidae","Chrysomelidae","Family","Family","Omnivore"
"402","Cantharidae Cicadellidae","Cantharidae","Cicadellidae","Family","Family","Omnivore"
"403","Cantharidae Clubionidae","Cantharidae","Clubionidae","Family","Family","Omnivore"
"404","Cantharidae Curculionidae","Cantharidae","Curculionidae","Family","Family","Omnivore"
"405","Cantharidae Elateridae","Cantharidae","Elateridae","Family","Family","Omnivore"
"406","Cantharidae Geophilidae","Cantharidae","Geophilidae","Family","Family","Omnivore"
"407","Cantharidae Lampyridae","Cantharidae","Lampyridae","Family","Family","Omnivore"
"408","Cantharidae Lycosidae","Cantharidae","Lycosidae","Family","Family","Omnivore"
"409","Cantharidae Lygaeidae","Cantharidae","Lygaeidae","Family","Family","Omnivore"
"410","Cantharidae Miridae","Cantharidae","Miridae","Family","Family","Omnivore"
"411","Cantharidae Nitidulidae","Cantharidae","Nitidulidae","Family","Family","Omnivore"
"412","Cantharidae Plants","Cantharidae","Plants","Family","Feeding guild","Omnivore"
"413","Cantharidae Rhyparochromidae","Cantharidae","Rhyparochromidae","Family","Family","Omnivore"
"414","Cantharidae Sarcophagidae","Cantharidae","Sarcophagidae","Family","Family","Omnivore"
"415","Cantharidae Scarabaeidae","Cantharidae","Scarabaeidae","Family","Family","Omnivore"
"416","Cantharidae Staphylinidae","Cantharidae","Staphylinidae","Family","Family","Omnivore"
"417","Canthocamptidae Plankton","Canthocamptidae","Plankton","Family","Feeding guild","Detritivore"
"418","Capniidae Algae","Capniidae","Algae","Family","Feeding guild","Omnivore"
"419","Capniidae Cerambycidae","Capniidae","Cerambycidae","Family","Family","Omnivore"
"420","Capniidae Plants","Capniidae","Plants","Family","Feeding guild","Omnivore"
"421","Carabidae Arionidae","Carabidae","Arionidae","Family","Family","Omnivore"
"422","Carabidae Calliphoridae","Carabidae","Calliphoridae","Family","Family","Omnivore"
"423","Carabidae Cantharidae","Carabidae","Cantharidae","Family","Family","Omnivore"
"424","Carabidae Carabidae","Carabidae","Carabidae","Family","Family","Omnivore"
"425","Carabidae Cerambycidae","Carabidae","Cerambycidae","Family","Family","Omnivore"
"426","Carabidae Chordeumatidae","Carabidae","Chordeumatidae","Family","Family","Omnivore"
"427","Carabidae Chrysomelidae","Carabidae","Chrysomelidae","Family","Family","Omnivore"
"428","Carabidae Cicadellidae","Carabidae","Cicadellidae","Family","Family","Omnivore"
"429","Carabidae Clubionidae","Carabidae","Clubionidae","Family","Family","Omnivore"
"430","Carabidae Coccinellidae","Carabidae","Coccinellidae","Family","Family","Omnivore"
"431","Carabidae Curculionidae","Carabidae","Curculionidae","Family","Family","Omnivore"
"432","Carabidae Dytiscidae","Carabidae","Dytiscidae","Family","Family","Omnivore"
"433","Carabidae Elateridae","Carabidae","Elateridae","Family","Family","Omnivore"
"434","Carabidae Erebidae","Carabidae","Erebidae","Family","Family","Omnivore"
"435","Carabidae Formicidae","Carabidae","Formicidae","Family","Family","Omnivore"
"436","Carabidae Geometridae","Carabidae","Geometridae","Family","Family","Omnivore"
"437","Carabidae Geophilidae","Carabidae","Geophilidae","Family","Family","Omnivore"
"438","Carabidae Lampyridae","Carabidae","Lampyridae","Family","Family","Omnivore"
"439","Carabidae Lycosidae","Carabidae","Lycosidae","Family","Family","Omnivore"
"440","Carabidae Lygaeidae","Carabidae","Lygaeidae","Family","Family","Omnivore"
"441","Carabidae Lymnaeidae","Carabidae","Lymnaeidae","Family","Family","Omnivore"
"442","Carabidae Miridae","Carabidae","Miridae","Family","Family","Omnivore"
"443","Carabidae Nitidulidae","Carabidae","Nitidulidae","Family","Family","Omnivore"
"444","Carabidae Plants","Carabidae","Plants","Family","Feeding guild","Omnivore"
"445","Carabidae Rhyparochromidae","Carabidae","Rhyparochromidae","Family","Family","Omnivore"
"446","Carabidae Sarcophagidae","Carabidae","Sarcophagidae","Family","Family","Omnivore"
"447","Carabidae Scarabaeidae","Carabidae","Scarabaeidae","Family","Family","Omnivore"
"448","Carabidae Scutigerellidae","Carabidae","Scutigerellidae","Family","Family","Omnivore"
"449","Carabidae Staphylinidae","Carabidae","Staphylinidae","Family","Family","Omnivore"
"450","Carabidae Syrphidae","Carabidae","Syrphidae","Family","Family","Omnivore"
"451","Carabidae Tenthredinidae","Carabidae","Tenthredinidae","Family","Family","Omnivore"
"452","Cecidomyiidae Cecidomyiidae","Cecidomyiidae","Cecidomyiidae","Family","Family","Omnivore"
"453","Cecidomyiidae Plants","Cecidomyiidae","Plants","Family","Feeding guild","Omnivore"
"454","Cerambycidae Cerambycidae","Cerambycidae","Cerambycidae","Family","Family","Omnivore"
"455","Cerambycidae Fungi","Cerambycidae","Fungi","Family","Feeding guild","Omnivore"
"456","Cerambycidae Plants","Cerambycidae","Plants","Family","Feeding guild","Omnivore"
"457","Cerambycidae Terrestrial detritus","Cerambycidae","Terrestrial detritus","Family","Feeding guild","Omnivore"
"458","Ceratopogonidae Baetidae","Ceratopogonidae","Baetidae","Family","Family","Omnivore"
"459","Ceratopogonidae Caenidae","Ceratopogonidae","Caenidae","Family","Family","Omnivore"
"460","Ceratopogonidae Capniidae","Ceratopogonidae","Capniidae","Family","Family","Omnivore"
"461","Ceratopogonidae Chironomidae","Ceratopogonidae","Chironomidae","Family","Family","Omnivore"
"462","Ceratopogonidae Chrysomelidae","Ceratopogonidae","Chrysomelidae","Family","Family","Omnivore"
"463","Ceratopogonidae Culicidae","Ceratopogonidae","Culicidae","Family","Family","Omnivore"
"464","Ceratopogonidae Curculionidae","Ceratopogonidae","Curculionidae","Family","Family","Omnivore"
"465","Ceratopogonidae Dixidae","Ceratopogonidae","Dixidae","Family","Family","Omnivore"
"466","Ceratopogonidae Dryopidae","Ceratopogonidae","Dryopidae","Family","Family","Omnivore"
"467","Ceratopogonidae Elmidae","Ceratopogonidae","Elmidae","Family","Family","Omnivore"
"468","Ceratopogonidae Ephemeridae","Ceratopogonidae","Ephemeridae","Family","Family","Omnivore"
"469","Ceratopogonidae Ephydridae","Ceratopogonidae","Ephydridae","Family","Family","Omnivore"
"470","Ceratopogonidae Gammaridae","Ceratopogonidae","Gammaridae","Family","Family","Omnivore"
"471","Ceratopogonidae Haematophagous","Ceratopogonidae","Haematophagous","Family","Feeding guild","Omnivore"
"472","Ceratopogonidae Haliplidae","Ceratopogonidae","Haliplidae","Family","Family","Omnivore"
"473","Ceratopogonidae Heptageniidae","Ceratopogonidae","Heptageniidae","Family","Family","Omnivore"
"474","Ceratopogonidae Hydrophilidae","Ceratopogonidae","Hydrophilidae","Family","Family","Omnivore"
"475","Ceratopogonidae Lepidostomatidae","Ceratopogonidae","Lepidostomatidae","Family","Family","Omnivore"
"476","Ceratopogonidae Leuctridae","Ceratopogonidae","Leuctridae","Family","Family","Omnivore"
"477","Ceratopogonidae Limnephilidae","Ceratopogonidae","Limnephilidae","Family","Family","Omnivore"
"478","Ceratopogonidae Limoniidae","Ceratopogonidae","Limoniidae","Family","Family","Omnivore"
"479","Ceratopogonidae Lymnaeidae","Ceratopogonidae","Lymnaeidae","Family","Family","Omnivore"
"480","Ceratopogonidae Nemouridae","Ceratopogonidae","Nemouridae","Family","Family","Omnivore"
"481","Ceratopogonidae Philopotamidae","Ceratopogonidae","Philopotamidae","Family","Family","Omnivore"
"482","Ceratopogonidae Physidae","Ceratopogonidae","Physidae","Family","Family","Omnivore"
"483","Ceratopogonidae Plankton","Ceratopogonidae","Plankton","Family","Feeding guild","Omnivore"
"484","Ceratopogonidae Plants","Ceratopogonidae","Plants","Family","Feeding guild","Omnivore"
"485","Ceratopogonidae Psychodidae","Ceratopogonidae","Psychodidae","Family","Family","Omnivore"
"486","Ceratopogonidae Ptychopteridae","Ceratopogonidae","Ptychopteridae","Family","Family","Omnivore"
"487","Ceratopogonidae Scirtidae","Ceratopogonidae","Scirtidae","Family","Family","Omnivore"
"488","Ceratopogonidae Simuliidae","Ceratopogonidae","Simuliidae","Family","Family","Omnivore"
"489","Ceratopogonidae Stratiomyidae","Ceratopogonidae","Stratiomyidae","Family","Family","Omnivore"
"490","Ceratopogonidae Syrphidae","Ceratopogonidae","Syrphidae","Family","Family","Omnivore"
"491","Ceratopogonidae Tipulidae","Ceratopogonidae","Tipulidae","Family","Family","Omnivore"
"492","Chaoboridae Baetidae","Chaoboridae","Baetidae","Family","Family","Omnivore"
"493","Chaoboridae Brachionidae","Chaoboridae","Brachionidae","Family","Family","Omnivore"
"494","Chaoboridae Caenidae","Chaoboridae","Caenidae","Family","Family","Omnivore"
"495","Chaoboridae Capniidae","Chaoboridae","Capniidae","Family","Family","Omnivore"
"496","Chaoboridae Chironomidae","Chaoboridae","Chironomidae","Family","Family","Omnivore"
"497","Chaoboridae Chrysomelidae","Chaoboridae","Chrysomelidae","Family","Family","Omnivore"
"498","Chaoboridae Culicidae","Chaoboridae","Culicidae","Family","Family","Omnivore"
"499","Chaoboridae Curculionidae","Chaoboridae","Curculionidae","Family","Family","Omnivore"
"500","Chaoboridae Daphniidae","Chaoboridae","Daphniidae","Family","Family","Omnivore"
"501","Chaoboridae Dixidae","Chaoboridae","Dixidae","Family","Family","Omnivore"
"502","Chaoboridae Dryopidae","Chaoboridae","Dryopidae","Family","Family","Omnivore"
"503","Chaoboridae Elmidae","Chaoboridae","Elmidae","Family","Family","Omnivore"
"504","Chaoboridae Ephemeridae","Chaoboridae","Ephemeridae","Family","Family","Omnivore"
"505","Chaoboridae Ephydridae","Chaoboridae","Ephydridae","Family","Family","Omnivore"
"506","Chaoboridae Gammaridae","Chaoboridae","Gammaridae","Family","Family","Omnivore"
"507","Chaoboridae Haliplidae","Chaoboridae","Haliplidae","Family","Family","Omnivore"
"508","Chaoboridae Heptageniidae","Chaoboridae","Heptageniidae","Family","Family","Omnivore"
"509","Chaoboridae Hydrophilidae","Chaoboridae","Hydrophilidae","Family","Family","Omnivore"
"510","Chaoboridae Lepidostomatidae","Chaoboridae","Lepidostomatidae","Family","Family","Omnivore"
"511","Chaoboridae Leuctridae","Chaoboridae","Leuctridae","Family","Family","Omnivore"
"512","Chaoboridae Limnephilidae","Chaoboridae","Limnephilidae","Family","Family","Omnivore"
"513","Chaoboridae Limoniidae","Chaoboridae","Limoniidae","Family","Family","Omnivore"
"514","Chaoboridae Lymnaeidae","Chaoboridae","Lymnaeidae","Family","Family","Omnivore"
"515","Chaoboridae Nemouridae","Chaoboridae","Nemouridae","Family","Family","Omnivore"
"516","Chaoboridae Philopotamidae","Chaoboridae","Philopotamidae","Family","Family","Omnivore"
"517","Chaoboridae Physidae","Chaoboridae","Physidae","Family","Family","Omnivore"
"518","Chaoboridae Plankton","Chaoboridae","Plankton","Family","Feeding guild","Omnivore"
"519","Chaoboridae Plants","Chaoboridae","Plants","Family","Feeding guild","Omnivore"
"520","Chaoboridae Psychodidae","Chaoboridae","Psychodidae","Family","Family","Omnivore"
"521","Chaoboridae Ptychopteridae","Chaoboridae","Ptychopteridae","Family","Family","Omnivore"
"522","Chaoboridae Scirtidae","Chaoboridae","Scirtidae","Family","Family","Omnivore"
"523","Chaoboridae Simuliidae","Chaoboridae","Simuliidae","Family","Family","Omnivore"
"524","Chaoboridae Stratiomyidae","Chaoboridae","Stratiomyidae","Family","Family","Omnivore"
"525","Chaoboridae Syrphidae","Chaoboridae","Syrphidae","Family","Family","Omnivore"
"526","Chaoboridae Tipulidae","Chaoboridae","Tipulidae","Family","Family","Omnivore"
"527","Chironomidae Algae","Chironomidae","Algae","Family","Feeding guild","Omnivore"
"528","Chironomidae Aquatic detritus","Chironomidae","Aquatic detritus","Family","Feeding guild","Omnivore"
"529","Chironomidae Baetidae","Chironomidae","Baetidae","Family","Family","Omnivore"
"530","Chironomidae Candonidae","Chironomidae","Candonidae","Family","Family","Omnivore"
"531","Chironomidae Canthocamptidae","Chironomidae","Canthocamptidae","Family","Family","Omnivore"
"532","Chironomidae Cerambycidae","Chironomidae","Cerambycidae","Family","Family","Omnivore"
"533","Chironomidae Chironomidae","Chironomidae","Chironomidae","Family","Family","Omnivore"
"534","Chironomidae Chydoridae","Chironomidae","Chydoridae","Family","Family","Omnivore"
"535","Chironomidae Cyprididae","Chironomidae","Cyprididae","Family","Family","Omnivore"
"536","Chironomidae Dasydytidae","Chironomidae","Dasydytidae","Family","Family","Omnivore"
"537","Chironomidae Fungi","Chironomidae","Fungi","Family","Feeding guild","Omnivore"
"538","Chironomidae Gammaridae","Chironomidae","Gammaridae","Family","Family","Omnivore"
"539","Chironomidae Heptageniidae","Chironomidae","Heptageniidae","Family","Family","Omnivore"
"540","Chironomidae Leuctridae","Chironomidae","Leuctridae","Family","Family","Omnivore"
"541","Chironomidae Limnephilidae","Chironomidae","Limnephilidae","Family","Family","Omnivore"
"542","Chironomidae Limnesiidae","Chironomidae","Limnesiidae","Family","Family","Omnivore"
"543","Chironomidae Muscidae","Chironomidae","Muscidae","Family","Family","Omnivore"
"544","Chironomidae Nemouridae","Chironomidae","Nemouridae","Family","Family","Omnivore"
"545","Chironomidae Plankton","Chironomidae","Plankton","Family","Feeding guild","Omnivore"
"546","Chironomidae Plants","Chironomidae","Plants","Family","Feeding guild","Omnivore"
"547","Chironomidae Sialidae","Chironomidae","Sialidae","Family","Family","Omnivore"
"548","Chironomidae Simuliidae","Chironomidae","Simuliidae","Family","Family","Omnivore"
"549","Chironomidae Tipulidae","Chironomidae","Tipulidae","Family","Family","Omnivore"
"550","Chloropidae Chloropidae","Chloropidae","Chloropidae","Family","Family","Omnivore"
"551","Chloropidae Plants","Chloropidae","Plants","Family","Feeding guild","Omnivore"
"552","Chordeumatidae Terrestrial detritus","Chordeumatidae","Terrestrial detritus","Family","Feeding guild","Detritivore"
"553","Chrysomelidae Chrysomelidae","Chrysomelidae","Chrysomelidae","Family","Family","Omnivore"
"554","Chrysomelidae Formicidae","Chrysomelidae","Formicidae","Family","Family","Omnivore"
"555","Chrysomelidae Plants","Chrysomelidae","Plants","Family","Feeding guild","Omnivore"
"556","Chrysomelidae Terrestrial detritus","Chrysomelidae","Terrestrial detritus","Family","Feeding guild","Omnivore"
"557","Chydoridae Algae","Chydoridae","Algae","Family","Feeding guild","Detritivore"
"558","Chydoridae Aquatic detritus","Chydoridae","Aquatic detritus","Family","Feeding guild","Detritivore"
"559","Cicadellidae Cicadellidae","Cicadellidae","Cicadellidae","Family","Family","Omnivore"
"560","Cicadellidae Plants","Cicadellidae","Plants","Family","Feeding guild","Omnivore"
"561","Clubionidae Agromyzidae","Clubionidae","Agromyzidae","Family","Family","Predator"
"562","Clubionidae Baetidae","Clubionidae","Baetidae","Family","Family","Predator"
"563","Clubionidae Cantharidae","Clubionidae","Cantharidae","Family","Family","Predator"
"564","Clubionidae Carabidae","Clubionidae","Carabidae","Family","Family","Predator"
"565","Clubionidae Cecidomyiidae","Clubionidae","Cecidomyiidae","Family","Family","Predator"
"566","Clubionidae Cerambycidae","Clubionidae","Cerambycidae","Family","Family","Predator"
"567","Clubionidae Ceratopogonidae","Clubionidae","Ceratopogonidae","Family","Family","Predator"
"568","Clubionidae Chironomidae","Clubionidae","Chironomidae","Family","Family","Predator"
"569","Clubionidae Chloropidae","Clubionidae","Chloropidae","Family","Family","Predator"
"570","Clubionidae Chrysomelidae","Clubionidae","Chrysomelidae","Family","Family","Predator"
"571","Clubionidae Cicadellidae","Clubionidae","Cicadellidae","Family","Family","Predator"
"572","Clubionidae Clubionidae","Clubionidae","Clubionidae","Family","Family","Predator"
"573","Clubionidae Coccinellidae","Clubionidae","Coccinellidae","Family","Family","Predator"
"574","Clubionidae Curculionidae","Clubionidae","Curculionidae","Family","Family","Predator"
